Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1728633486,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1728633487,1,,Aggregated,0.000000,0.000000,19,19,19,19,19,19,19,19,19,19,19,1,0,19.002299999897332,19.002299999897332,19.002299999897332,19.002299999897332,56.0
1728633488,2,,Aggregated,0.000000,0.000000,500,500,500,500,500,500,500,500,500,500,500,2,0,19.002299999897332,261.2734499999192,19.002299999897332,503.54459999994106,1919.5
1728633489,3,,Aggregated,0.000000,0.000000,36,36,500,500,500,500,500,500,500,500,500,4,0,19,142.13372499995103,9.717700000010154,503.54459999994106,987.75
1728633490,4,,Aggregated,1.000000,0.000000,500,500,630,630,810,810,810,810,810,810,810,6,0,36,334.254933333303,9.717700000010154,811.9433000000527,1298.5
1728633491,6,,Aggregated,1.000000,0.000000,500,630,650,650,810,810,810,810,810,810,810,7,0,500.0,378.96517142855504,9.717700000010154,811.9433000000527,1653.7142857142858
1728633492,7,,Aggregated,1.333333,0.000000,590,630,650,650,810,810,810,810,810,810,810,8,0,500.0,404.7352124999861,9.717700000010154,811.9433000000527,1920.0
1728633493,8,,Aggregated,1.500000,0.000000,630,810,1300,1300,1500,1700,1700,1700,1700,1700,1700,11,0,630.0,700.365018181804,9.717700000010154,1712.7272999999832,2089.6363636363635
1728633494,9,,Aggregated,1.400000,0.000000,810,1300,1500,1600,1700,2100,2100,2100,2100,2100,2100,14,0,650.0,880.8701571428352,9.717700000010154,2092.846799999961,2187.0714285714284
1728633495,10,,Aggregated,1.333333,0.000000,930,1400,1600,1600,1700,2100,2100,2100,2100,2100,2100,16,0,810.0,959.71918124998,9.717700000010154,2092.846799999961,2386.3125
1728633496,10,,Aggregated,1.571429,0.000000,1300,1300,1500,1600,1700,2100,2100,2100,2100,2100,2100,18,0,930.0,996.3960611111005,9.717700000010154,2092.846799999961,2540.5
1728633497,10,,Aggregated,1.571429,0.000000,1300,1300,1500,1600,1700,2100,2100,2100,2100,2100,2100,18,0,930.0,996.3960611111005,9.717700000010154,2092.846799999961,2540.5
1728633498,10,,Aggregated,1.777778,0.000000,1300,1600,1700,2100,2300,2700,3300,3300,3300,3300,3300,22,0,1300.0,1289.3566636363555,9.717700000010154,3338.164200000051,2595.8636363636365
1728633499,10,,Aggregated,1.700000,0.000000,1500,2100,2300,2600,3200,3300,4100,4100,4100,4100,4100,26,0,1400.0,1577.8957576922958,9.717700000010154,4055.454999999938,2491.1923076923076
1728633500,10,,Aggregated,1.700000,0.000000,1500,2100,2300,2600,3200,3300,4100,4100,4100,4100,4100,26,0,1400.0,1577.8957576922958,9.717700000010154,4055.454999999938,2491.1923076923076
1728633501,10,,Aggregated,2.000000,0.000000,1600,2100,2400,2700,3300,3300,4100,4100,4100,4100,4100,29,0,1600.0,1680.2156896551621,9.717700000010154,4055.454999999938,2495.689655172414
1728633502,10,,Aggregated,2.000000,0.000000,1600,2100,2400,2700,3300,3300,4100,4100,4100,4100,4100,29,0,1600.0,1680.2156896551621,9.717700000010154,4055.454999999938,2495.689655172414
1728633503,10,,Aggregated,2.000000,0.000000,1700,2300,2600,2800,3300,3600,4100,4100,4100,4100,4100,33,0,1700.0,1830.475699999986,9.717700000010154,4055.454999999938,2538.7272727272725
1728633504,10,,Aggregated,2.000000,0.000000,1700,2300,2600,2800,3300,3600,4100,4100,4100,4100,4100,33,0,1700.0,1830.475699999986,9.717700000010154,4055.454999999938,2538.7272727272725
1728633505,10,,Aggregated,2.000000,0.000000,1700,2300,2600,2800,3300,3600,4100,4100,4100,4100,4100,33,0,1700.0,1830.475699999986,9.717700000010154,4055.454999999938,2538.7272727272725
1728633506,10,,Aggregated,2.200000,0.000000,2100,2600,2800,3300,3600,4200,4400,4400,4400,4400,4400,37,0,2100.0,2028.9721027026917,9.717700000010154,4354.551700000002,2471.4054054054054
1728633507,10,,Aggregated,2.200000,0.000000,2100,2600,2800,3300,3600,4200,4400,4400,4400,4400,4400,37,0,2100.0,2028.9721027026917,9.717700000010154,4354.551700000002,2471.4054054054054
1728633508,10,,Aggregated,1.700000,0.000000,2100,2500,2800,3300,3600,4200,4500,4500,4500,4500,4500,46,0,2100.0,2028.3968391304224,9.717700000010154,4484.565599999996,2321.8260869565215
1728633509,10,,Aggregated,1.700000,0.000000,2100,2500,2800,3300,3600,4200,4500,4500,4500,4500,4500,46,0,2100.0,2028.3968391304224,9.717700000010154,4484.565599999996,2321.8260869565215
1728633510,10,,Aggregated,1.900000,0.000000,2100,2500,2800,3300,3600,4200,4500,4500,4500,4500,4500,47,0,2100.0,2016.5287659574342,9.717700000010154,4484.565599999996,2352.723404255319
1728633511,10,,Aggregated,1.900000,0.000000,2100,2500,2800,3300,3600,4200,4500,4500,4500,4500,4500,47,0,2100.0,2016.5287659574342,9.717700000010154,4484.565599999996,2352.723404255319
1728633512,10,,Aggregated,1.900000,0.000000,2100,2500,2800,3300,3600,4200,4500,4500,4500,4500,4500,47,0,2100.0,2016.5287659574342,9.717700000010154,4484.565599999996,2352.723404255319
1728633513,10,,Aggregated,1.900000,0.000000,2100,2500,2800,3300,3600,4200,4500,4500,4500,4500,4500,47,0,2100.0,2016.5287659574342,9.717700000010154,4484.565599999996,2352.723404255319
1728633514,10,,Aggregated,1.800000,0.000000,2300,2800,3500,3900,4300,4700,4800,4900,4900,4900,4900,54,0,2300.0,2326.9483074073955,9.717700000010154,4850.3416000000925,2469.0555555555557
1728633515,10,,Aggregated,1.800000,0.000000,2300,3300,3500,4000,4400,4700,4800,4900,4900,4900,4900,57,0,2300.0,2417.7985263157757,9.717700000010154,4850.3416000000925,2472.8596491228072
1728633516,10,,Aggregated,1.400000,0.000000,2300,3300,3500,4000,4400,4700,4800,4900,4900,4900,4900,58,0,2300.0,2391.5033499999877,9.717700000010154,4850.3416000000925,2495.2413793103447
1728633517,10,,Aggregated,1.400000,0.000000,2300,3300,3500,4000,4400,4700,4800,4900,4900,4900,4900,58,0,2300.0,2391.5033499999877,9.717700000010154,4850.3416000000925,2495.2413793103447
1728633518,10,,Aggregated,2.400000,0.000000,2300,3200,3500,3900,4300,4700,4800,4900,4900,4900,4900,61,1,2300.0,2398.693165573757,9.717700000010154,4850.3416000000925,2495.754098360656
